date,cash,equity,dividendCash,cumulativeDividends,holdings,top3,pendingSwapBuy,pendingSwapSell,positionValue,kospiClose,kospiValue
2002-09-27,800433.6911381073,17263121.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,16462688.0,663.72,8058472.8579580635
2002-09-30,800433.6911381073,16229721.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,15429288.0,646.42,7848427.084977478
2002-10-01,800433.6911381073,16254121.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,15453688.0,652.13,7917754.3314352315
2002-10-02,800433.6911381073,16376121.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,samsung_elec",,,15575688.0,648.1,7868824.5935675
2002-10-04,800433.6911381073,17303771.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,16503338.0,650.92,7903063.2687007515
2002-10-07,800433.6911381073,17132971.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,amore_holdings",,,16332538.0,627.4,7617498.14844044
2002-10-08,800433.6911381073,17352571.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,16552138.0,634.84,7707829.972196253
2002-10-09,800433.6911381073,15885571.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,15085138.0,619.94,7526923.497201415
2002-10-10,800433.6911381073,15641571.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,samsung_elec",,,14841138.0,584.04,7091048.164831296
2002-10-11,800433.6911381073,15543971.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,14743538.0,587.51,7133178.73316902
2002-10-14,800433.6911381073,15958771.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,samsung_elec",,,15158338.0,614.27,7458081.905710088
2002-10-15,800433.6911381073,16056371.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,15255938.0,629.57,7643844.930369221
2002-10-16,800433.6911381073,16160721.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,15360288.0,636.25,7724949.309762879
2002-10-17,800433.6911381073,16331521.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,15531088.0,644.66,7827058.266454597
2002-10-18,800433.6911381073,17091971.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,16291538.0,670.79,8144312.373274407
2002-10-21,800433.6911381073,16439121.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,15638688.0,652.67,7924310.673482025
2002-10-22,800433.6911381073,16292721.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",,,15492288.0,639.27,7761616.259728276
2002-10-23,800433.6911381073,16561221.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,doosan",,,15760788.0,657.43,7982103.614487086
2002-10-24,800433.6911381073,16470721.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,doosan",,,15670288.0,654.98,7952357.247793306
2002-10-25,800433.6911381073,16585521.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,doosan",,,15785088.0,655.88,7963284.48453796
2002-10-28,800433.6911381073,16886921.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,doosan",doosan,hyundai_motor_3pref,16086488.0,678.14,8233551.473355754
2002-10-29,1895229.1311381077,16364273.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",lotte_chilsung,doosan,14469044.0,673.18,8173330.257518545
2002-10-30,1895229.1311381077,16272597.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",lotte_chilsung,doosan,14377368.0,658.03,7989388.438983524
2002-10-31,1895229.1311381077,16228995.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",lotte_chilsung,doosan,14333766.0,658.92,8000194.261986571
2002-11-01,1895229.1311381077,16228995.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",lotte_chilsung,doosan,14333766.0,647.65,7863360.975195172
2002-11-04,1895229.1311381077,16339677.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",lotte_chilsung,doosan,14444448.0,672.68,8167259.570438181
2002-11-05,1895229.1311381077,16278187.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",lotte_chilsung,doosan,14382958.0,664.9,8072799.679467722
2002-11-06,1895229.1311381077,16278187.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",lotte_chilsung,doosan,14382958.0,682.56,8287216.347146169
2002-11-07,1895229.1311381077,16161915.131138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",lotte_chilsung,doosan,14266686.0,681.27,8271553.9744788315
2002-11-08,1641373.951138108,15827311.951138109,0.0,0.0,"hyundai_eandc,lotte_chilsung,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",doosan,lotte_chilsung,14185938.0,674.85,8193606.352366961
2002-11-11,1641373.951138108,15827311.951138109,0.0,0.0,"hyundai_eandc,lotte_chilsung,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",doosan,lotte_chilsung,14185938.0,657.78,7986353.095443342
2002-11-12,1771934.3511381084,15600982.351138107,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",hyundai_motor_3pref,doosan,13829048.0,654.43,7945679.492004904
2002-11-13,1731454.451138108,15333692.451138109,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",doosan,hyundai_motor_3pref,13602238.0,653.85,7938637.494991683
2002-11-14,1675465.331138108,15251165.331138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",hyundai_motor_3pref,doosan,13575700.0,652.15,7917997.158918447
2002-11-15,1693934.0111381076,15271322.011138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",doosan,hyundai_motor_3pref,13577388.0,672.95,8170537.741461579
2002-11-18,1570981.411138108,15091829.411138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",hyundai_motor_3pref,doosan,13520848.0,667.13,8099874.943846145
2002-11-19,1496043.911138108,14967881.911138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",doosan,hyundai_motor_3pref,13471838.0,671.44,8152204.266478881
2002-11-20,1537856.5511381077,15043580.551138107,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",hyundai_motor_3pref,doosan,13505724.0,682.0,8280417.177616162
2002-11-21,1505405.8411381077,15035243.841138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",doosan,hyundai_motor_3pref,13529838.0,690.38,8382161.893083059
2002-11-22,1510736.541138108,15047304.541138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",hyundai_motor_3pref,doosan,13536568.0,692.87,8412393.91474327
2002-11-25,1438336.3411381077,14923724.341138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,samsung_elec",doosan,hyundai_motor_3pref,13485388.0,705.86,8570110.36509112
2002-11-26,1406242.161138108,14894048.161138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",hyundai_motor_3pref,doosan,13487806.0,702.27,8526522.831854109
2002-11-27,1399141.1411381084,14880729.141138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",doosan,hyundai_motor_3pref,13481588.0,708.07,8596942.80198633
2002-11-28,1285326.531138108,14713875.531138107,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",hyundai_motor_3pref,doosan,13428549.0,714.54,8675497.492806235
2002-11-29,775623.9811381083,15910411.981138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",doosan,hyundai_motor_3pref,15134788.0,724.8,8800067.9916953
2002-12-03,548494.2811381081,16070102.281138107,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",hyundai_motor_3pref,doosan,15521608.0,736.57,8942971.965567064
2002-12-04,362306.9311381085,15787344.93113811,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",doosan,hyundai_motor_3pref,15425038.0,714.5,8675011.837839806
2002-12-05,343085.63113810867,15757353.631138109,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,amore_holdings",hyundai_motor_3pref,doosan,15414268.0,722.76,8775299.588407416
2002-12-06,278648.83113810886,15652436.831138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",doosan,hyundai_motor_3pref,15373788.0,718.09,8718599.371076819
2002-12-09,24948.141138108447,15852155.141138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,doosan,hyundai_motor_3pref",hyundai_motor_3pref,doosan,15827207.0,709.11,8609569.831113486
2002-12-10,10739.461138108745,15735277.461138109,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,hyundai_motor",doosan,hyundai_motor_3pref,15724538.0,702.44,8528586.865461433
2002-12-11,4198.771138108335,15650405.77113811,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",hyundai_motor_3pref,doosan,15646207.0,698.61,8482085.402425846
2002-12-12,3673.0811381079257,15549011.081138108,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","doosan,hyundai_motor_3pref,lg_household",doosan,hyundai_motor_3pref,15545338.0,715.38,8685696.247101247
2002-12-13,2379.2411381080747,15062101.241138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,doosan,namyang_dairy",,,15059722.0,708.13,8597671.284435973
2002-12-16,2379.2411381080747,14730649.241138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,doosan,lotte_chilsung",,,14728270.0,692.42,8406930.296370944
2002-12-17,2379.2411381080747,14763913.241138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","doosan,hyundai_motor_3pref,lg_chem",,,14761534.0,704.49,8553476.682490924
